eps	alg	SR	DS	targeted
0.0	fw	0.0	FMNIST	False
0.00368421052631579	fw	0.09	FMNIST	False
0.00736842105263158	fw	0.22	FMNIST	False
0.01105263157894737	fw	0.32	FMNIST	False
0.01473684210526316	fw	0.46	FMNIST	False
0.01842105263157895	fw	0.63	FMNIST	False
0.02210526315789474	fw	0.77	FMNIST	False
0.02578947368421053	fw	0.88	FMNIST	False
0.02947368421052632	fw	0.92	FMNIST	False
0.03315789473684211	fw	0.94	FMNIST	False
0.0368421052631579	fw	0.96	FMNIST	False
0.04052631578947369	fw	0.97	FMNIST	False
0.04421052631578948	fw	0.98	FMNIST	False
0.04789473684210527	fw	0.99	FMNIST	False
0.05157894736842106	fw	1.0	FMNIST	False
0.05526315789473685	fw	1.0	FMNIST	False
0.05894736842105264	fw	0.99	FMNIST	False
0.06263157894736843	fw	1.0	FMNIST	False
0.06631578947368422	fw	1.0	FMNIST	False
0.07	fw	1.0	FMNIST	False
1	fw	1.0	FMNIST	False
0.0	fw	0.0	MNIST	False
0.015789473684210527	fw	0.01	MNIST	False
0.031578947368421054	fw	0.04	MNIST	False
0.04736842105263158	fw	0.05	MNIST	False
0.06315789473684211	fw	0.11	MNIST	False
0.07894736842105263	fw	0.2	MNIST	False
0.09473684210526316	fw	0.26	MNIST	False
0.1105263157894737	fw	0.4	MNIST	False
0.12631578947368421	fw	0.52	MNIST	False
0.14210526315789473	fw	0.71	MNIST	False
0.15789473684210525	fw	0.82	MNIST	False
0.1736842105263158	fw	0.83	MNIST	False
0.18947368421052632	fw	0.88	MNIST	False
0.20526315789473684	fw	0.92	MNIST	False
0.2210526315789474	fw	0.95	MNIST	False
0.2368421052631579	fw	0.97	MNIST	False
0.25263157894736843	fw	0.98	MNIST	False
0.26842105263157895	fw	0.97	MNIST	False
0.28421052631578947	fw	0.99	MNIST	False
0.3	fw	1.0	MNIST	False
1	fw	1.0	MNIST	False
0.0	fw	0.0	ResNet	False
0.00036842105263157896	fw	0.03	ResNet	False
0.0007368421052631579	fw	0.09	ResNet	False
0.0011052631578947368	fw	0.16	ResNet	False
0.0014736842105263158	fw	0.23	ResNet	False
0.001842105263157895	fw	0.32	ResNet	False
0.0022105263157894735	fw	0.45	ResNet	False
0.0025789473684210526	fw	0.53	ResNet	False
0.0029473684210526317	fw	0.65	ResNet	False
0.0033157894736842108	fw	0.71	ResNet	False
0.00368421052631579	fw	0.79	ResNet	False
0.0040526315789473685	fw	0.86	ResNet	False
0.004421052631578947	fw	0.9	ResNet	False
0.004789473684210527	fw	0.92	ResNet	False
0.005157894736842105	fw	0.95	ResNet	False
0.005526315789473685	fw	0.96	ResNet	False
0.005894736842105263	fw	0.96	ResNet	False
0.006263157894736842	fw	0.96	ResNet	False
0.0066315789473684215	fw	0.97	ResNet	False
0.007	fw	1.0	ResNet	False
1	fw	1.0	ResNet	False
